 rcv	    481.67	   ACK	35638	0
 rcv	    482.02	   ACK	35638	0
 rcv	    482.33	   ACK	35638	0
 rcv	    482.52	   ACK	35638	0
 rcv	    482.61	   ACK	35638	0
 rcv	    483.29	   ACK	35638	0
 snd	    888.30	   FIN	35638	0
 snd	   1293.64	   FIN	35638	0
 snd	   1294.19	 RESET	    0	0
Amount of (original) Data Transferred (in bytes): 34638
Number of Data Segments Sent (excluding retransmissions): 35
Number of Retransmitted Data Segments: 359
Number of Duplicate Acknowledgements received: 76
